S21S3F0  0      102.06Factory Default CPG2030-003-05  
O121O 2 4 1
P01   42.26  17.19 -51.52-100.96   3.84  97.23
l121l1000
I121I   0.00
O1,2,4,16,1P01   41.54  17.15 -52.11-100.97   3.12  96.45 0
O1,52,54,66,51P01  4.17353E+01  1.70259E+01 -5.19908E+01 -1.00994E+02  3.58527E+00  9.65451E+01 120
P01  4.10649E+01  1.71339E+01 -5.25120E+01 -1.00847E+02  3.08801E+00  9.53761E+01 120
O1,52,54,51P01  4.19821E+01  1.66604E+01 -5.19392E+01 -1.01123E+02  2.94801E+00  9.64354E+01 
P01  4.16090E+01  1.65575E+01 -5.22553E+01 -1.01325E+02  3.16845E+00  9.64175E+01 
O1,52,54,16,51P01  4.18333E+01  1.70420E+01 -5.19074E+01 -1.01076E+02  3.26461E+00  9.69333E+01  0
O1,52,54,66,51P01  4.20877E+01  1.71737E+01 -5.17119E+01 -1.00893E+02  3.69339E+00  9.69266E+01 120
e1Tf2 E*ERROR**ERROR* EC -99*PS  1*FL  0*ST 1*
fP01 {%B”õäA/Q¬˙…¬0'R@-Ì¿B120
O1,2,4,1O1,2,4,16,1P01 ¨a$B™&âA≤ÎQ¬◊Å…¬Åë?@ø|øB 0
FP01   42.11  15.67 -52.09-101.88   2.69  97.13 0
O1,16,2,4,1P01  0  41.07  16.50 -52.67-101.28   2.28  95.15
C01  0  41.93  17.05 -51.87-100.91   3.69  96.38
01  0  41.82  17.20 -51.92-100.75   3.66  96.33
01  0  41.69  17.47 -51.89-100.72   4.04  96.20
01  0  41.77  18.18 -51.55-100.44   4.44  96.38
01  0  41.86  18.66 -51.28-100.18   4.99  96.61
01  0  42.12  18.01 -51.22-100.37   4.80  96.95
01  0  42.23  17.67 -51.30-100.38   4.44  96.98
01  0  41.46  17.01 -52.25-100.41   3.65  96.29
01  0  41.58  16.94 -52.16-100.51   3.68  96.65
01  0  41.46  17.27 -52.12-100.44   3.74  96.43
01  0  41.39  17.29 -52.23-100.40   3.63  96.32
01  0  40.93  17.04 -52.62-100.48   3.13  95.55
01  0  40.93  17.31 -52.60-100.47   3.68  95.64
01  0  41.54  17.00 -52.17-100.75   3.41  96.24
01  0  41.29  16.98 -52.39-100.70   3.17  95.87
01  0  41.87  16.71 -52.09-101.06   3.17  96.65
01  0  41.75  16.54 -52.11-101.22   2.99  96.34
01  0  41.83  16.69 -52.04-101.16   3.14  96.66
01  0  41.98  17.00 -51.85-101.04   3.47  96.66
01  0  41.58  17.11 -52.07-100.91   3.39  96.22
01  0  41.64  16.98 -52.13-101.11   3.26  96.32
01  0  41.69  16.72 -52.19-101.17   3.07  96.27
01  0  41.81  16.61 -52.16-101.30   3.07  96.52
01  0  41.75  16.84 -52.11-101.07   3.07  96.35
